============================================================================================
Box Size: 2.25 X 1 X 0.8 M
Kinect Position: 0.6, 0.35, 0.35
Experiment Time: 10/07/2013 3:52:42 PM and Ticks:635167579620106840
============================================================================================
EVENTTYPE | EVENT# | HANDTYPE | X | Y | Z | TIME | STOPWATCH(ms) | SKELETON ID
SKT | OUT | 0.3812781 | 0.006231593 | 2.857778 | 3:53:18PM | 36276 | 109
SKT | OUT | 0.3783562 | 0.005245237 | 2.859411 | 3:53:18PM | 36315 | 109
SKT | OUT | 0.3840632 | 0.006179735 | 2.857811 | 3:53:18PM | 36345 | 109
SKT | OUT | 0.3805234 | 0.0126462 | 2.861687 | 3:53:18PM | 36377 | 109
SKT | OUT | 0.3747012 | 0.01079102 | 2.867754 | 3:53:18PM | 36409 | 109
SKT | OUT | 0.3756923 | 0.010312 | 2.866651 | 3:53:18PM | 36441 | 109
SKT | OUT | 0.3747523 | 0.01725954 | 2.868117 | 3:53:18PM | 36476 | 109
SKT | OUT | 0.3761472 | 0.01049227 | 2.866755 | 3:53:18PM | 36509 | 109
SKT | OUT | 0.3741138 | 0.01765703 | 2.869926 | 3:53:18PM | 36540 | 109
SKT | OUT | 0.3750784 | 0.01968805 | 2.869667 | 3:53:18PM | 36580 | 109
SKT | OUT | 0.375494 | 0.01699453 | 2.87068 | 3:53:18PM | 36609 | 109
SKT | OUT | 0.3768941 | 0.02066304 | 2.867915 | 3:53:18PM | 36642 | 109
SKT | OUT | 0.3780419 | 0.01899821 | 2.868023 | 3:53:18PM | 36677 | 109
SKT | OUT | 0.3767444 | 0.01746744 | 2.868285 | 3:53:18PM | 36709 | 109
SKT | OUT | 0.3774781 | 0.02408553 | 2.869268 | 3:53:18PM | 36740 | 109
SKT | OUT | 0.3771287 | 0.01810495 | 2.871054 | 3:53:18PM | 36778 | 109
SKT | OUT | 0.3757912 | 0.02476219 | 2.8716 | 3:53:18PM | 36809 | 109
SKT | OUT | 0.3750146 | 0.01733602 | 2.871755 | 3:53:18PM | 36845 | 109
SKT | OUT | 0.3815965 | 0.01597471 | 2.86824 | 3:53:18PM | 36877 | 109
SKT | OUT | 0.3692695 | 0.018675 | 2.877064 | 3:53:18PM | 36910 | 109
SKT | OUT | 0.3732459 | 0.01979609 | 2.873736 | 3:53:18PM | 36945 | 109
SKT | OUT | 0.37909 | 0.01742971 | 2.868872 | 3:53:18PM | 36978 | 109
SKT | OUT | 0.3823473 | 0.01469995 | 2.866392 | 3:53:19PM | 37008 | 109
SKT | OUT | 0.3853904 | 0.01367836 | 2.863026 | 3:53:19PM | 37045 | 109
SKT | OUT | 0.3864734 | 0.01930927 | 2.861793 | 3:53:19PM | 37078 | 109
SKT | OUT | 0.3853522 | 0.007849113 | 2.863214 | 3:53:19PM | 37109 | 109
SKT | OUT | 0.3857082 | 0.01460781 | 2.863177 | 3:53:19PM | 37145 | 109
SKT | OUT | 0.3836357 | 0.01612858 | 2.864161 | 3:53:19PM | 37177 | 109
SKT | OUT | 0.3865378 | 0.01004445 | 2.861865 | 3:53:19PM | 37215 | 109
SKT | OUT | 0.3874169 | 0.01397857 | 2.86085 | 3:53:19PM | 37250 | 109
SKT | OUT | 0.3897652 | 0.01535926 | 2.858921 | 3:53:19PM | 37276 | 109
SKT | OUT | 0.3977608 | -0.00103708 | 2.854519 | 3:53:19PM | 37310 | 109
SKT | OUT | 0.3921903 | 0.008303976 | 2.853878 | 3:53:19PM | 37347 | 109
SKT | OUT | 0.3918708 | 0.01909557 | 2.857469 | 3:53:19PM | 37377 | 109
SKT | OUT | 0.3847014 | 0.01244767 | 2.862419 | 3:53:19PM | 37418 | 109
SKT | OUT | 0.390056 | 0.01246409 | 2.857895 | 3:53:19PM | 37460 | 109
SKT | OUT | 0.3875326 | 0.01109903 | 2.858877 | 3:53:19PM | 37480 | 109
SKT | OUT | 0.3893145 | 0.011888 | 2.859175 | 3:53:19PM | 37513 | 109
SKT | OUT | 0.3785723 | 0.01603662 | 2.863868 | 3:53:19PM | 37547 | 109
SKT | OUT | 0.382191 | 0.01875029 | 2.859689 | 3:53:19PM | 37579 | 109
SKT | OUT | 0.3854089 | 0.01889376 | 2.855843 | 3:53:19PM | 37614 | 109
SKT | OUT | 0.3939604 | 0.01757619 | 2.847445 | 3:53:19PM | 37646 | 109
SKT | OUT | 0.38564 | 0.01916519 | 2.848746 | 3:53:19PM | 37677 | 109
SKT | OUT | 0.3895673 | 0.02164341 | 2.845395 | 3:53:19PM | 37718 | 109
SKT | OUT | 0.3839395 | 0.02827599 | 2.845206 | 3:53:19PM | 37751 | 109
SKT | OUT | 0.3824635 | 0.02258912 | 2.84003 | 3:53:19PM | 37787 | 109
SKT | OUT | 0.3801352 | 0.02420075 | 2.840276 | 3:53:19PM | 37816 | 109
SKT | OUT | 0.3807419 | 0.0304797 | 2.83495 | 3:53:19PM | 37846 | 109
SKT | OUT | 0.3816958 | 0.03227863 | 2.833718 | 3:53:19PM | 37878 | 109
SKT | OUT | 0.3842126 | 0.03725467 | 2.832295 | 3:53:19PM | 37913 | 109
SKT | OUT | 0.3822031 | 0.03597672 | 2.831167 | 3:53:19PM | 37950 | 109
SKT | OUT | 0.3852463 | 0.03992156 | 2.827922 | 3:53:19PM | 37983 | 109
SKT | OUT | 0.3844608 | 0.0373267 | 2.826241 | 3:53:20PM | 38016 | 109
SKT | OUT | 0.3823484 | 0.03697105 | 2.823024 | 3:53:20PM | 38046 | 109
SKT | OUT | 0.3549148 | 0.01912315 | 2.800319 | 3:53:20PM | 38078 | 109
SKT | OUT | 0.3798583 | 0.03957017 | 2.822536 | 3:53:20PM | 38120 | 109
SKT | OUT | 0.3474003 | 0.02039349 | 2.798058 | 3:53:20PM | 38151 | 109
SKT | OUT | 0.3785706 | 0.03670974 | 2.821065 | 3:53:20PM | 38185 | 109
SKT | OUT | 0.3782474 | 0.04355325 | 2.82518 | 3:53:20PM | 38218 | 109
SKT | OUT | 0.3458127 | 0.02263876 | 2.799725 | 3:53:20PM | 38252 | 109
SKT | OUT | 0.3767013 | 0.04533825 | 2.829578 | 3:53:20PM | 38287 | 109
SKT | OUT | 0.3812594 | 0.04294299 | 2.822803 | 3:53:20PM | 38321 | 109
